X1,X2,Y
89,14,0
46,69,0
39,99,0
31,0,1
78,37,0
46,36,1
21,50,1
55,23,1
89,9,1
20,19,1
36,10,1
32,76,0
75,38,0
53,35,1
85,45,0
27,9,1
81,7,1
89,69,0
60,60,0
93,80,0
67,18,1
53,25,1
1,0,1
84,6,1
23,38,1
97,77,0
71,71,0
40,10,1
57,95,0
4,74,1
90,84,0
47,59,0
41,8,1
78,40,0
12,29,1
90,99,0
42,94,0
57,78,0
31,42,1
50,24,1
56,95,0
75,24,1
30,71,0
33,91,0
26,37,1
46,14,1
29,61,1
41,66,0
50,98,0
43,71,0
99,50,0
31,96,0
16,19,1
100,73,0
25,21,1
83,18,0
13,65,1
75,34,0
16,11,1
68,55,0
93,26,0
55,98,0
13,76,1
72,93,0
65,96,0
50,94,0
81,12,1
37,12,1
52,23,1
18,42,1
27,89,0
87,54,0
42,11,1
23,40,1
37,79,0
77,97,0
21,18,1
68,70,0
64,99,0
61,25,1
58,12,1
3,16,1
28,1,1
0,13,1
96,20,0
55,3,1
64,5,1
16,86,0
44,96,0
64,15,1
18,46,1
69,59,0
36,50,1
63,27,1
40,3,1
20,22,1
64,63,0
12,88,0
100,73,0
59,15,1
58,31,1
